LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,DATE_INCIDENT_BEGAN,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,cluster,cluster_title,nearest_station,stations_in_radius,stations_in_radius_dist_m
200 E BLAND ST,28203,35.217008,-80.854286,Central,3,2022/08/17 00:00:00+00,Parking Lot,Residential,Apartment/Duplex Private Res,All Other Thefts,8,Theft and Vehicle Offenses,Bland,Bland,158.91
200 S COLLEGE ST,28202,35.225467,-80.843098,Central,476,2021/04/06 00:00:00+00,Indoors,Public/Non-Residential,Government Building,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","163.83,205.97"
400 E MARTIN LUTHER KING JR BV,28202,35.222248,-80.843363,Central,476,2023/12/27 00:00:00+00,Parking Lot,Commercial Place,Hotel/Motel,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,CTC/Arena,"3rd St/Convention,Brooklyn Village,CTC/Arena","153.54,339.15,354.1"
100 N TRYON ST,28202,35.227199,-80.843083,Central,476,2017/12/28 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
100 W 5TH ST,28202,35.227994,-80.841946,Central,476,2022/04/17 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,False Pretenses/Swindle,2,Fraud and Financial Crimes,7th Street,"CTC/Arena,7th Street","335.87,363.89"
1700 SOUTH BV,28203,35.212734,-80.856643,Central,3,2021/01/04 00:00:00+00,Indoors,Retail,Drug Store,Shoplifting,4,"""Theft-Related Offenses""",Bland,"East/West,Bland","246.28,365.07"
300 W TREMONT AV,28203,35.210672,-80.86189,Central,338,2020/01/30 00:00:00+00,Indoors,Residential,Private Residence,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,284.72
100 E 5TH ST,28202,35.227994,-80.841946,Central,476,2017/11/05 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Purse-Snatching,4,"""Theft-Related Offenses""",7th Street,"CTC/Arena,7th Street","335.87,363.89"
200 W TREMONT AV,28203,35.210672,-80.86189,Central,388,2023/11/25 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,8,Theft and Vehicle Offenses,East/West,East/West,284.72
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2019/07/22 00:00:00+00,Outdoors,Commercial Place,Bus - CATS Bus/Vehicle,Aggravated Assault,0,"""Violent and Public Safety Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
200 S TRYON ST,28202,35.226412,-80.844208,Central,476,2023/07/24 00:00:00+00,Outdoors,Open Area,Other - Open Area,Intimidation,7,"""Coercive and Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","300.47,327.83"
200 N TRYON ST,28202,35.227994,-80.841946,Central,476,2024/10/01 00:00:00+00,Other,Commercial Place,ATM,False Pretenses/Swindle,2,Fraud and Financial Crimes,7th Street,"CTC/Arena,7th Street","335.87,363.89"
1400 SOUTH BV,28203,35.215687,-80.852976,Central,3,2017/03/31 00:00:00+00,Parking Lot,Commercial Place,Other - Commercial Place,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,210.29
2000 S TRYON ST,28203,35.212531,-80.865013,Central,388,2020/08/06 00:00:00+00,Indoors,Commercial Place,Office,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",East/West,East/West,535.83
100 W TRADE ST,28202,35.227199,-80.843083,Central,476,2023/12/17 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Weapon Law Violations,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
600 N CHURCH ST,28202,35.232696,-80.837638,Central,476,2022/10/16 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,9th Street,409.9
400 S CHURCH ST,28202,35.225846,-80.847447,Central,476,2025/02/26 00:00:00+00,Indoors,Commercial Place,Office,Intimidation,7,"""Coercive and Violent Offenses""",3rd St/Convention,3rd St/Convention,469.97
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2022/06/22 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,Trespass Of Real Property,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
300 E 6TH ST,28202,35.227841,-80.839745,Central,476,2023/11/24 00:00:00+00,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,"7th Street,CTC/Arena,9th Street","168.09,348.82,478.48"
2000 EUCLID AV,28203,35.208109,-80.857522,Providence,3,2019/09/11 00:00:00+00,Indoors,Residential,Private Residence,False Pretenses/Swindle,2,Fraud and Financial Crimes,East/West,East/West,450.56
600 N CHURCH ST,28202,35.232696,-80.837638,Central,476,2024/02/24 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Trespass Of Real Property,1,"""Regulatory and Non-Violent Offenses""",9th Street,9th Street,409.9
400 E 4TH ST,28202,35.223788,-80.841164,Central,476,2023/09/22 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","135.98,173.67"
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2017/10/12 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
200 N BREVARD ST,28202,35.225754,-80.838332,Central,476,2018/03/29 00:00:00+00,Parking Lot,Open Area,Other - Open Area,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,7th Street,"7th Street,CTC/Arena","164.45,290.57"
500 E BROOKLYN VILLAGE AV,28202,35.219973,-80.844631,Central,3,2023/12/04 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,Simple Assault,0,"""Violent and Public Safety Offenses""",3rd St/Convention,"Brooklyn Village,3rd St/Convention","262.39,427.93"
300 S BREVARD ST,28202,35.223007,-80.842269,Central,476,2024/05/18 00:00:00+00,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"3rd St/Convention,CTC/Arena,Brooklyn Village","98.25,235.05,461.36"
200 E BLAND ST,28203,35.217008,-80.854286,Central,3,2020/10/23 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",Bland,Bland,158.91
200 E BROOKSHIRE FR,28202,35.232139,-80.833753,Central,476,2018/04/12 00:00:00+00,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",9th Street,9th Street,293.32
700 E TRADE ST,28202,35.222096,-80.837071,Central,476,2017/11/02 00:00:00+00,Indoors,Public/Non-Residential,Government Building,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,CTC/Arena,508.14
600 S TRYON ST,28202,35.223455,-80.848521,Central,476,2019/07/10 00:00:00+00,Outdoors,Open Area,Construction Site,All Other Thefts,8,Theft and Vehicle Offenses,Brooklyn Village,Brooklyn Village,270.46
200 E 7TH ST,28202,35.228585,-80.838701,Central,476,2024/01/22 00:00:00+00,Parking Lot,Open Area,Other - Open Area,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
300 EAST BV,28203,35.21087,-80.85654,Providence,3,2019/09/08 00:00:00+00,Outdoors,Open Area,Street/Highway,Simple Assault,0,"""Violent and Public Safety Offenses""",East/West,East/West,267.17
100 W TRADE ST,28202,35.227199,-80.843083,Central,476,2012/11/28 00:00:00+00,Indoors,Commercial Place,Other - Commercial Place,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
200 E 3RD ST,28202,35.224709,-80.844206,Central,476,2018/08/24 00:00:00+00,Indoors,Commercial Place,Hotel/Motel,Theft From Building,8,Theft and Vehicle Offenses,CTC/Arena,"3rd St/Convention,CTC/Arena,Brooklyn Village","160.41,258.28,444.28"
1600 SOUTH BV,28203,35.213671,-80.855609,Central,3,2021/03/08 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,Intimidation,7,"""Coercive and Violent Offenses""",Bland,"Bland,East/West","241.3,376.69"
400 E TRADE ST,28202,35.224569,-80.839996,Central,476,2024/07/16 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","135.56,298.43,342.74"
600 E 3RD ST,28202,35.221303,-80.840288,Central,476,2025/04/09 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",3rd St/Convention,3rd St/Convention,359.3
100 N TRYON ST,28202,35.227199,-80.843083,Central,476,2017/09/16 00:00:00+00,Outdoors,Commercial Place,Theater,All Other Thefts,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
1000 S TRYON ST,28203,35.220936,-80.85121,Central,476,2022/12/03 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",Brooklyn Village,"Carson,Brooklyn Village","229.52,391.84"
400 S TRYON ST,28202,35.22492,-80.846381,Central,476,2024/09/17 00:00:00+00,Outdoors,Open Area,Other - Open Area,All Other Thefts,8,Theft and Vehicle Offenses,3rd St/Convention,"3rd St/Convention,Brooklyn Village","335.32,394.77"
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2019/12/12 00:00:00+00,Indoors,Retail,Other - Retail,Impersonation,2,Fraud and Financial Crimes,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2021/01/01 00:00:00+00,Indoors,Residential,Private Residence,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2019/11/07 00:00:00+00,Indoors,Public/Non-Residential,Government Building,Pornography/Obscene Material,5,Sexual Exploitation Crimes,7th Street,"CTC/Arena,7th Street","384.08,477.44"
200 EAST BV,28203,35.211751,-80.857709,Central,3,2023/10/31 00:00:00+00,Indoors,Public/Non-Residential,Air/Bus/Train Terminal,Simple Assault,0,"""Violent and Public Safety Offenses""",East/West,East/West,134.62
200 N CHURCH ST,28202,35.228926,-80.843025,Central,476,2017/05/09 00:00:00+00,Outdoors,Open Area,Street/Highway,Pocket-Picking,4,"""Theft-Related Offenses""",CTC/Arena,CTC/Arena,460.12
400 E BROOKLYN VILLAGE AV,28202,35.220786,-80.845514,Central,476,2023/01/02 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Intimidation,7,"""Coercive and Violent Offenses""",3rd St/Convention,"Brooklyn Village,3rd St/Convention","146.04,384.65"
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2019/06/11 00:00:00+00,Outdoors,Open Area,Other - Open Area,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2017/02/26 00:00:00+00,Parking Lot,Commercial Place,Bar/Tavern/Nightclub,Kidnapping,7,"""Coercive and Violent Offenses""",Bland,Bland,98.98
300 W TREMONT AV,28203,35.210672,-80.86189,Central,338,2022/02/06 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Theft From Building,8,Theft and Vehicle Offenses,East/West,East/West,284.72
500 E 6TH ST,28202,35.225305,-80.836821,Central,476,2018/11/01 00:00:00+00,Indoors,Residential,Common Area of Multi-Family Dwelling,All Other Thefts,8,Theft and Vehicle Offenses,7th Street,"7th Street,CTC/Arena","240.45,417.16"
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2022/03/27 00:00:00+00,Parking Lot,Commercial Place,Bar/Tavern/Nightclub,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,98.98
200 E TRADE ST,28202,35.226243,-80.841973,Central,476,2019/10/23 00:00:00+00,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,False Pretenses/Swindle,2,Fraud and Financial Crimes,7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
100 E 8TH ST,28202,35.230244,-80.838738,Central,476,2017/12/12 00:00:00+00,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Simple Assault,0,"""Violent and Public Safety Offenses""",9th Street,9th Street,345.45
200 E TRADE ST,28203,35.226243,-80.841973,Central,476,2019/09/03 00:00:00+00,Indoors,Retail,Drug Store,Shoplifting,4,"""Theft-Related Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
200 E 9TH ST,28202,35.229334,-80.835683,Central,476,2025/07/26 00:00:00+00,Outdoors,Commercial Place,Light Rail/Trolley,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",9th Street,"9th Street,7th Street","74.23,318.98"
500 E 6TH ST,28202,35.225305,-80.836821,Central,476,2024/04/04 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,7th Street,"7th Street,CTC/Arena","240.45,417.16"
300 S BREVARD ST,28202,35.223007,-80.842269,Central,476,2024/09/21 00:00:00+00,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,8,Theft and Vehicle Offenses,CTC/Arena,"3rd St/Convention,CTC/Arena,Brooklyn Village","98.25,235.05,461.36"
500 S CALDWELL ST,28202,35.221184,-80.842679,Central,476,2024/07/15 00:00:00+00,Other,Commercial Place,Financial Institution,False Pretenses/Swindle,2,Fraud and Financial Crimes,3rd St/Convention,"3rd St/Convention,Brooklyn Village","271.27,388.45"
600 E TRADE ST,28202,35.222915,-80.83802,Central,476,2025/10/11 00:00:00+00,Other,Open Area,Cyberspace,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","384.08,477.44"
500 E 6TH ST,28201,35.225305,-80.836821,Central,476,2022/10/29 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,0,"""Violent and Public Safety Offenses""",7th Street,"7th Street,CTC/Arena","240.45,417.16"
1000 SOUTH BV,28203,35.218651,-80.848905,Central,476,2025/10/07 00:00:00+00,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,1,"""Regulatory and Non-Violent Offenses""",Brooklyn Village,"Carson,Brooklyn Village","177.18,352.49"
300 W TRADE ST,28202,35.228968,-80.84514,Central,476,2017/12/13 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Credit Card/Teller Fraud,2,Fraud and Financial Crimes,CTC/Arena,CTC/Arena,556.86
200 WEST BV,28203,35.213197,-80.860153,Central,388,2020/04/07 00:00:00+00,Outdoors,Open Area,Construction Site,All Other Thefts,8,Theft and Vehicle Offenses,East/West,East/West,165.64
700 N CHURCH ST,28202,35.23278,-80.837512,Central,476,2024/06/19 00:00:00+00,Other,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,8,Theft and Vehicle Offenses,9th Street,9th Street,411.0
300 E TRADE ST,28202,35.226243,-80.841973,Central,476,2021/01/23 00:00:00+00,Outdoors,Commercial Place,Restaurant/Diner/Coffee Shop,Simple Assault,0,"""Violent and Public Safety Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
200 E 3RD ST,28202,35.224709,-80.844206,Central,476,2017/12/15 00:00:00+00,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,CTC/Arena,"3rd St/Convention,CTC/Arena,Brooklyn Village","160.41,258.28,444.28"
2100 SOUTH BV,28203,35.207769,-80.860343,Central,3,2021/07/24 00:00:00+00,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,Animal Cruelty,5,Sexual Exploitation Crimes,East/West,East/West,474.73
1400 S TRYON ST,28203,35.216686,-80.855588,Central,339,2021/03/04 00:00:00+00,Parking Deck,Commercial Place,Other - Commercial Place,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,Bland,Bland,98.98
500 E TRADE ST,28202,35.223768,-80.839041,Central,476,2022/05/06 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","253.7,366.16,393.1"
700 N CHURCH ST,28202,35.23278,-80.837512,Central,476,2025/04/26 00:00:00+00,Parking Deck,Residential,Private Residence,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,9th Street,411.0
600 N CHURCH ST,28202,35.232696,-80.837638,Central,476,2025/07/13 00:00:00+00,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,8,Theft and Vehicle Offenses,9th Street,9th Street,409.9
2100 SOUTHEND DR,28203,35.207236,-80.859618,Providence,3,2019/04/14 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,8,Theft and Vehicle Offenses,East/West,East/West,523.27
300 W BLAND ST,28203,35.219246,-80.857294,Central,339,2022/05/15 00:00:00+00,Outdoors,Commercial Place,Bar/Tavern/Nightclub,Simple Assault,0,"""Violent and Public Safety Offenses""",Bland,Bland,420.85
300 N COLLEGE ST,28202,35.227841,-80.839745,Central,476,2023/07/16 00:00:00+00,Indoors,Commercial Place,Bar/Tavern/Nightclub,All Other Thefts,8,Theft and Vehicle Offenses,9th Street,"7th Street,CTC/Arena,9th Street","168.09,348.82,478.48"
200 E 7TH ST,28202,35.228585,-80.838701,Central,476,2022/07/15 00:00:00+00,Outdoors,Commercial Place,Light Rail/Trolley,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",9th Street,"7th Street,9th Street,CTC/Arena","162.23,358.76,466.85"
1500 SOUTH BV,28203,35.214569,-80.854568,Central,3,2021/05/29 00:00:00+00,Indoors,Retail,Drug Store,Shoplifting,4,"""Theft-Related Offenses""",Bland,Bland,154.13
900 N COLLEGE ST,28202,35.232917,-80.832622,Central,476,2024/02/12 00:00:00+00,Outdoors,Open Area,Other - Open Area,Trespass Of Real Property,1,"""Regulatory and Non-Violent Offenses""",9th Street,9th Street,417.26
100 N COLLEGE ST,28202,35.226243,-80.841973,Central,476,2018/01/11 00:00:00+00,Outdoors,Open Area,Street/Highway,All Other Offenses,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,3rd St/Convention,7th Street","147.71,308.3,372.2"
1600 SOUTH BV,28214,35.213671,-80.855609,Central,3,2023/06/05 00:00:00+00,Outdoors,Commercial Place,Other - Commercial Place,Damage/Vandalism Of Property,1,"""Regulatory and Non-Violent Offenses""",Bland,"Bland,East/West","241.3,376.69"
1200 S COLLEGE ST,28203,35.218844,-80.852291,Central,339,2022/04/02 00:00:00+00,Outdoors,Open Area,Street/Highway,Motor Vehicle Theft,8,Theft and Vehicle Offenses,Bland,Bland,430.96
100 S TRYON ST,28202,35.227199,-80.843083,Central,476,2018/11/07 00:00:00+00,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Building,8,Theft and Vehicle Offenses,CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
100 W 5TH ST,28202,35.227994,-80.841946,Central,476,2021/05/01 00:00:00+00,Other,Commercial Place,Restaurant/Diner/Coffee Shop,Other Unlisted Non-Criminal,1,"""Regulatory and Non-Violent Offenses""",7th Street,"CTC/Arena,7th Street","335.87,363.89"
300 N TRYON ST,28202,35.228772,-80.840838,Central,476,2023/08/22 00:00:00+00,Other,Open Area,Construction Site,Burglary/B&E,7,"""Coercive and Violent Offenses""",7th Street,"7th Street,CTC/Arena","305.82,421.32"
300 N DAVIDSON ST,28202,35.224467,-80.835845,Central,476,2019/05/04 00:00:00+00,Outdoors,Open Area,Other - Open Area,Motor Vehicle Theft,8,Theft and Vehicle Offenses,7th Street,7th Street,365.85
100 S TRYON ST,28202,35.227199,-80.843083,Central,476,2024/01/28 00:00:00+00,Outdoors,Open Area,Street/Highway,Drug Equipment Violations,1,"""Regulatory and Non-Violent Offenses""",CTC/Arena,"CTC/Arena,3rd St/Convention","288.46,398.03"
200 E BLAND ST,28203,35.217008,-80.854286,Central,3,2017/09/01 00:00:00+00,Indoors,Residential,Apartment/Duplex Private Res,Suicide,9,"""Fatal Incidents and Investigations""",Bland,Bland,158.91
