OBJECTID,GEOID,Minor_pct,Poverty_pct,Senior_pct,BIPOC_pct,ZeroCar_pct,Disability_pct,LEP_pct,Score_State,Score_Division,Score_MPO,Score_County,Key_CountyFIPS,Key_DivNbr,Key_MPO,GlobalID,Shape__Area,Shape__Length
3932,371190019203,0.285277636,0.294447275,0.083545593,0.739174733,0.017928287,0.170386905,0.168091168,16.5,16.5,16.5,16.5,119,10,Charlotte Regional Transportation Planning Organization,218d2f77-6a6e-43a1-94b1-7bc197127c4b,4.62868497379532E-05,0.0329599783304987
3933,370590803022,0.202226345,0.30148423,0.22541744,0.19851577,0,0.201176471,0.040191388,10.5,10.5,11.5,12.5,59,9,Northwest Piedmont RPO,24d45cc4-9e98-4f4b-9d3b-c921c9738710,0.00257458941405275,0.29667099113786
3934,370590807011,0.116859946,0.519179304,0.234611954,0.193577163,0.212981744,0.380808081,0.091674462,14,14,16,16,59,9,Northwest Piedmont RPO,3bb746f5-87bb-4b25-a047-1f041ab78966,0.00135945831107165,0.219699986743236
3935,370590807012,0.184603299,0.263157895,0.133542812,0.258444619,0,0.173741362,0,10.5,11.5,10.5,13,59,9,Northwest Piedmont RPO,b107363c-c1fb-44ef-a3d9-110c75819ce8,0.002058567705717,0.23537218490288
3936,370630017052,0.27421875,0.21640625,0.075,0.43046875,0.1,0.093952484,0.104,15,15,14,13,63,5,Durham Chapel Hill Carrboro MPO,ceb6f53e-c7ba-446d-8ef1-c549d43ec5e1,0.000186079365448677,0.0558029490130498
3937,370650204004,0.298666667,0.901333333,0.154666667,0.993333333,0,0.152654867,0,15,13,14,13,65,4,Rocky Mount Urban Area MPO,9abb96f4-e5ff-4eaa-890f-dc37ee5854fe,0.000108893513925068,0.0550853129881378
3938,370650212004,0,0.067343173,0.42804428,0.345940959,0.157667387,0.291053228,0.006457565,10.5,8,9,9,65,4,Upper Coastal Plain RPO,8af6236d-5fec-43ac-bc34-079ec3e7ae5a,0.000878521219419781,0.148990081031669
3939,370650215001,0.234632035,0.368831169,0.267532468,0.626839827,0.092134831,0.18727491,0.057813911,13.5,13,12.5,12.5,65,4,Upper Coastal Plain RPO,addae3a5-0d26-43d0-803f-50cb10bc4832,0.0011120892688723,0.200202182705325
3940,370690603014,0.025819265,0.176762661,0.337636544,0.419066534,0.242424242,0.259079903,0.060575968,10.5,13.5,12,12,69,5,Kerr-Tar RPO,242b0860-400e-40c9-aa1b-00f8c9c62ec1,0.00200591709108267,0.226197086004743
3941,371910011023,0.205112599,0.289105295,0.179549604,0.209373098,0.041033435,0.130756579,0,9.5,9.5,9.5,9.5,191,4,Goldsboro Urban Area MPO,40f09b00-5260-4c13-94b3-ebb9a020d5c8,0.000568908448030925,0.103499954525944
3942,371910003043,0.302007299,0.159671533,0.156021898,0.261861314,0.03649635,0.190045249,0,11.5,10.5,10.5,10.5,191,4,Goldsboro Urban Area MPO,86e0f096-32d9-4adf-a52b-ccd75f30acbe,0.00144136203084599,0.225358790703107
3943,371910004012,0.147126437,0.082758621,0.340229885,0.275862069,0,0.172506739,0.015831135,7.5,7.5,8.5,8.5,191,4,Goldsboro Urban Area MPO,ab1cc599-9cf5-4874-85d2-0edb54dfd724,0.000250978852818662,0.0708344173522982
3944,371830524111,0.148654244,0.298550725,0.061283644,0.534989648,0.112790698,0.078307393,0.075379126,13.5,12,12.5,12.5,183,5,Capital Area MPO,cb6a5caa-0973-4a62-ab9f-9c3277c694c6,0.000117851992854412,0.0542115117819761
3945,371830524112,0.136861802,0.114407912,0.040363539,0.450681636,0.015616586,0.040163163,0.091402456,10.5,10,10.5,10.5,183,5,Capital Area MPO,6873f39b-d70c-4acf-a618-2532fca61130,0.000156248302801032,0.0554316899030256
