INCIDENT_REPORT_ID,LOCATION,ZIP,LATITUDE_PUBLIC,LONGITUDE_PUBLIC,CMPD_PATROL_DIVISION,NPA,LOCATION_TYPE_DESCRIPTION,PLACE_TYPE_DESCRIPTION,PLACE_DETAIL_DESCRIPTION,HIGHEST_NIBRS_DESCRIPTION,date,year,hour,day_type,cluster,cluster_title,geometry,nearest_station,station_list
20250530-0728-04,300 S BREVARD ST,28208,35.223007,-80.842269,Central,476,Outdoors,Open Area,Street/Highway,Theft From Motor Vehicle,2025-05-30,2025,7,Weekday,1,Property Theft and Vandalism,POINT (-80.842269 35.223007),3rd St/Convention,"['3rd St/Convention', 'CTC/Arena', 'Brooklyn Village']"
20251013-1212-00,100 S COLLEGE ST,28208,35.226243,-80.841973,Central,476,Outdoors,Open Area,Street/Highway,Drug Equipment Violations,2025-10-13,2025,12,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20180123-1554-02,300 S TRYON ST,28208,35.225651,-80.845306,Central,476,Outdoors,Commercial Place,Financial Institution,Other Unlisted Non-Criminal,2018-01-23,2018,15,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.845306 35.225651),3rd St/Convention,"['3rd St/Convention', 'CTC/Arena']"
20210131-1442-02,1300 S COLLEGE ST,28208,35.217864,-80.853307,Central,339,Parking Deck,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,2021-01-31,2021,14,Sunday,1,Property Theft and Vandalism,POINT (-80.853307 35.217864),Bland,['Bland']
20251208-0018-01,200 E 7TH ST,28208,35.228585,-80.838701,Central,476,Outdoors,Open Area,Street/Highway,Weapon Law Violations,2025-12-08,2025,0,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.838701 35.228585),7th Street,"['7th Street', '9th Street', 'CTC/Arena']"
20240906-0105-01,300 N COLLEGE ST,28208,35.227841,-80.839745,Central,476,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,Drug/Narcotic Violations,2024-09-06,2024,1,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.839745 35.227841),7th Street,"['7th Street', 'CTC/Arena', '9th Street']"
20210413-0822-00,100 W 4TH ST,28208,35.226412,-80.844208,Central,476,Outdoors,Open Area,Street/Highway,Other Unlisted Non-Criminal,2021-04-13,2021,8,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.844208 35.226412),CTC/Arena,"['CTC/Arena', '3rd St/Convention']"
20180509-1610-01,500 N TRYON ST,28208,35.230244,-80.838738,Central,476,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,2018-05-09,2018,16,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.838738 35.230244),9th Street,['9th Street']
20230317-1641-02,200 E 9TH ST,28208,35.229334,-80.835683,Central,476,Outdoors,Commercial Place,Other - Commercial Place,Stolen Property Offenses,2023-03-17,2023,16,Weekday,1,Property Theft and Vandalism,POINT (-80.835683 35.229334),9th Street,"['9th Street', '7th Street']"
20231120-1742-02,600 E TRADE ST,28208,35.222915,-80.83802,Central,476,Indoors,Public/Non-Residential,Government Building,Other Unlisted Non-Criminal,2023-11-20,2023,17,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.83802 35.222915),CTC/Arena,"['CTC/Arena', '7th Street']"
20220312-1923-01,400 WEST BV,28208,35.214791,-80.863564,Central,388,Outdoors,Open Area,Street/Highway,All Other Offenses,2022-03-12,2022,19,Saturday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.863564 35.214791),East/West,['East/West']
20201201-1847-00,1700 SOUTH BV,28208,35.212734,-80.856643,Central,3,Outdoors,Open Area,Street/Highway,Public Accident,2020-12-01,2020,18,Weekday,9,Non-Criminal Incident Reports,POINT (-80.856643 35.212734),East/West,"['East/West', 'Bland']"
20250608-0257-00,300 E 6TH ST,28208,35.227841,-80.839745,Central,476,Parking Deck,Public/Non-Residential,Other - Public/Non-Residential,Motor Vehicle Theft,2025-06-08,2025,2,Sunday,1,Property Theft and Vandalism,POINT (-80.839745 35.227841),7th Street,"['7th Street', 'CTC/Arena', '9th Street']"
20211019-0856-01,1700 SOUTH BV,28208,35.212734,-80.856643,Central,3,Indoors,Retail,Drug Store,Shoplifting,2021-10-19,2021,8,Weekday,7,"""Financial and Personal Crimes""",POINT (-80.856643 35.212734),East/West,"['East/West', 'Bland']"
20180816-0954-03,300 E TRADE ST,28208,35.226243,-80.841973,Central,476,Outdoors,Public/Non-Residential,Other - Public/Non-Residential,All Other Thefts,2018-08-16,2018,9,Weekday,1,Property Theft and Vandalism,POINT (-80.841973 35.226243),CTC/Arena,"['CTC/Arena', '3rd St/Convention', '7th Street']"
20170911-1645-03,300 E TREMONT AV,28208,35.208554,-80.858111,Providence,3,Parking Deck,Residential,Apartment/Duplex Private Res,Theft From Motor Vehicle,2017-09-11,2017,16,Weekday,1,Property Theft and Vandalism,POINT (-80.858111 35.208554),East/West,['East/West']
20240621-1610-01,200 W TRADE ST,28208,35.228131,-80.844166,Central,476,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,2024-06-21,2024,16,Weekday,3,"""Regulatory and Non-Violent Offenses""",POINT (-80.844166 35.228131),CTC/Arena,['CTC/Arena']
