OBJECTID,Tree_ID,Common,DBH,Active,Location,geometry,index_right,name,lat,lon,Deciduous
1764157,110531715,OAK: WILLOW,14.0,1,,POINT (514694.9127997279 3898597.566341003),0,9th Street,35.2297,-80.835,1
1764158,110531716,OAK: WILLOW,18.0,1,,POINT (514688.4045138551 3898591.0414338876),0,9th Street,35.2297,-80.835,1
1764159,110531717,OAK: WILLOW,18.0,1,,POINT (514609.62522416614 3898523.884105615),0,9th Street,35.2297,-80.835,1
1764159,110531717,OAK: WILLOW,18.0,1,,POINT (514609.62522416614 3898523.884105615),1,7th Street,35.22722,-80.83806,1
1764160,110531718,OAK: WILLOW,4.0,1,200 N TRYON ST,POINT (514401.8758022524 3898342.9997254815),1,7th Street,35.22722,-80.83806,1
1764160,110531718,OAK: WILLOW,4.0,1,200 N TRYON ST,POINT (514401.8758022524 3898342.9997254815),2,CTC/Arena,35.225,-80.84139,1
1764161,110531719,OAK: WILLOW,4.0,1,,POINT (514379.6525727983 3898325.636087032),1,7th Street,35.22722,-80.83806,1
1764161,110531719,OAK: WILLOW,4.0,1,,POINT (514379.6525727983 3898325.636087032),2,CTC/Arena,35.225,-80.84139,1
1764162,110531720,OAK: WILLOW,4.0,1,,POINT (514373.0909349392 3898319.778961437),1,7th Street,35.22722,-80.83806,1
1764162,110531720,OAK: WILLOW,4.0,1,,POINT (514373.0909349392 3898319.778961437),2,CTC/Arena,35.225,-80.84139,1
1764163,110531721,OAK: WILLOW,4.0,1,,POINT (514358.917825099 3898307.8068732545),2,CTC/Arena,35.225,-80.84139,1
1764165,110531723,OAK: WILLOW,14.0,1,,POINT (514346.1640050271 3898297.145696232),2,CTC/Arena,35.225,-80.84139,1
1764166,110531724,OAK: WILLOW,14.0,1,,POINT (514338.74442168133 3898291.159691647),2,CTC/Arena,35.225,-80.84139,1
1764167,110531725,OAK: WILLOW,14.0,1,,POINT (514330.23978975264 3898284.197088655),2,CTC/Arena,35.225,-80.84139,1
1764168,110531726,OAK: WILLOW,14.0,1,,POINT (514324.07334823627 3898277.5199815235),2,CTC/Arena,35.225,-80.84139,1
1764169,110531727,OAK: WILLOW,17.0,1,,POINT (514318.7063517712 3898273.4037116296),2,CTC/Arena,35.225,-80.84139,1
1764170,110531728,OAK: WILLOW,4.0,1,,POINT (514310.2591161679 3898266.996928008),2,CTC/Arena,35.225,-80.84139,1
1764170,110531728,OAK: WILLOW,4.0,1,,POINT (514310.2591161679 3898266.996928008),3,3rd St/Convention,35.22361,-80.84306,1
1764171,110531729,OAK: WILLOW,4.0,1,,POINT (514303.3431099389 3898261.859013852),2,CTC/Arena,35.225,-80.84139,1
1764171,110531729,OAK: WILLOW,4.0,1,,POINT (514303.3431099389 3898261.859013852),3,3rd St/Convention,35.22361,-80.84306,1
1764172,110531730,OAK: WILLOW,17.0,1,1300 S TRYON ST,POINT (514264.1027093862 3898226.5904788445),2,CTC/Arena,35.225,-80.84139,1
1764172,110531730,OAK: WILLOW,17.0,1,1300 S TRYON ST,POINT (514264.1027093862 3898226.5904788445),3,3rd St/Convention,35.22361,-80.84306,1
1764173,110531731,OAK: WILLOW,18.0,1,1300 S TRYON ST,POINT (514254.71317335166 3898218.6484109703),2,CTC/Arena,35.225,-80.84139,1
1764173,110531731,OAK: WILLOW,18.0,1,1300 S TRYON ST,POINT (514254.71317335166 3898218.6484109703),3,3rd St/Convention,35.22361,-80.84306,1
1764174,110531732,OAK: WILLOW,11.0,1,,POINT (514248.36041114473 3898214.097007127),2,CTC/Arena,35.225,-80.84139,1
1764174,110531732,OAK: WILLOW,11.0,1,,POINT (514248.36041114473 3898214.097007127),3,3rd St/Convention,35.22361,-80.84306,1
1764175,110531733,OAK: WILLOW,4.0,1,,POINT (514240.69631403923 3898207.8345945072),2,CTC/Arena,35.225,-80.84139,1
1764175,110531733,OAK: WILLOW,4.0,1,,POINT (514240.69631403923 3898207.8345945072),3,3rd St/Convention,35.22361,-80.84306,1
1764176,110531734,OAK: WILLOW,99.0,1,,POINT (514232.40087465 3898200.8270102623),2,CTC/Arena,35.225,-80.84139,1
1764176,110531734,OAK: WILLOW,99.0,1,,POINT (514232.40087465 3898200.8270102623),3,3rd St/Convention,35.22361,-80.84306,1
1764177,110531735,OAK: WILLOW,99.0,1,,POINT (514226.84973179194 3898194.594572059),2,CTC/Arena,35.225,-80.84139,1
1764177,110531735,OAK: WILLOW,99.0,1,,POINT (514226.84973179194 3898194.594572059),3,3rd St/Convention,35.22361,-80.84306,1
1764178,110531736,OAK: WILLOW,99.0,1,,POINT (514219.8682795133 3898190.5112687005),2,CTC/Arena,35.225,-80.84139,1
1764178,110531736,OAK: WILLOW,99.0,1,,POINT (514219.8682795133 3898190.5112687005),3,3rd St/Convention,35.22361,-80.84306,1
1764179,110531737,OAK: WILLOW,99.0,1,,POINT (514212.63386735343 3898184.6997841527),2,CTC/Arena,35.225,-80.84139,1
1764179,110531737,OAK: WILLOW,99.0,1,,POINT (514212.63386735343 3898184.6997841527),3,3rd St/Convention,35.22361,-80.84306,1
1764180,110531738,OAK: WILLOW,99.0,1,,POINT (514207.5287029496 3898178.3726389115),2,CTC/Arena,35.225,-80.84139,1
1764180,110531738,OAK: WILLOW,99.0,1,,POINT (514207.5287029496 3898178.3726389115),3,3rd St/Convention,35.22361,-80.84306,1
1764181,110531739,OAK: WILLOW,99.0,1,,POINT (514200.9528072008 3898173.3273722026),2,CTC/Arena,35.225,-80.84139,1
1764181,110531739,OAK: WILLOW,99.0,1,,POINT (514200.9528072008 3898173.3273722026),3,3rd St/Convention,35.22361,-80.84306,1
1764182,110531740,OAK: WILLOW,99.0,1,,POINT (514193.62421907694 3898167.773072812),2,CTC/Arena,35.225,-80.84139,1
1764182,110531740,OAK: WILLOW,99.0,1,,POINT (514193.62421907694 3898167.773072812),3,3rd St/Convention,35.22361,-80.84306,1
1764183,110531741,OAK: WILLOW,99.0,1,,POINT (514171.3463083219 3898148.716448698),2,CTC/Arena,35.225,-80.84139,1
1764183,110531741,OAK: WILLOW,99.0,1,,POINT (514171.3463083219 3898148.716448698),3,3rd St/Convention,35.22361,-80.84306,1
1764184,110531742,OAK: WILLOW,14.0,1,,POINT (514163.972229251 3898142.5464740996),2,CTC/Arena,35.225,-80.84139,1
1764184,110531742,OAK: WILLOW,14.0,1,,POINT (514163.972229251 3898142.5464740996),3,3rd St/Convention,35.22361,-80.84306,1
1764185,110531743,OAK: WILLOW,14.0,1,,POINT (514156.5951082625 3898136.0361610837),2,CTC/Arena,35.225,-80.84139,1
1764185,110531743,OAK: WILLOW,14.0,1,,POINT (514156.5951082625 3898136.0361610837),3,3rd St/Convention,35.22361,-80.84306,1
